latitude,longitude,frp
-37.48861,149.63156,4.4
-34.4611,150.88142,2.1
-33.94823,151.21292,6.4
-34.45618,150.87723,2.1
-31.60223,150.15147,19.3
-29.26867,149.46602,13.6
-29.26898,149.4623,13.6
-31.60248,150.14816,18.6
-29.26928,149.45857,4.9
-29.34156,148.04869,31.2
-32.05619,148.75629,5.3
-31.39709,149.65176,5.5
-29.34125,148.05324,18.9
-29.33545,148.05276,18.9
-30.46836,152.34421,2.8
-29.33577,148.0482,31.2
-29.33607,148.04364,31.2
-32.05493,148.75705,5
-29.49846,150.19156,1.4
-29.32997,148.04773,14.7
-29.19227,149.68713,1
-29.26644,149.46655,13.1
-29.29462,148.22585,1.9
-31.60751,150.15147,5.2
-29.26672,149.46284,13.1
-29.26699,149.45911,4.9
-27.51415,149.09218,21.5
-26.61106,152.50316,4.7
-26.5926,152.51367,3.8
-27.50881,149.09158,8.5
-26.59351,152.50519,5.2
-26.55115,151.07849,5.5
-27.50852,149.09529,6.7
-26.80869,147.42746,2.5
-26.80282,147.42702,7.7
-27.51595,149.09384,4.5
-26.80217,147.43628,13.2
-26.80314,147.42245,7.7
-27.51061,149.09325,16.4
-26.7963,147.43596,13.2
-26.79598,147.44058,15.3
-27.51093,149.08955,16.4
-26.79663,147.43124,13.2
-26.79043,147.43556,7.8
-27.08444,152.89487,1.5
-26.80411,147.42613,8.9
-26.79753,147.43501,12.5
-27.11977,150.88348,4.1
-26.79717,147.43967,12.5
-26.79789,147.43033,8.9
-27.11612,150.87155,2.3
-26.79824,147.42572,8.9
-26.79165,147.43468,10.4
-27.21208,149.78955,21.2
-26.7913,147.4393,10.4
-26.5254,150.08607,5.2
-27.11026,150.88234,6.8
-26.36034,150.76546,8.7
-26.36087,150.75996,8.7
-27.11081,150.87662,6.8
-26.34115,147.0451,3.3
-26.33518,147.04456,3.3
-27.11136,150.87097,2.3
-25.90664,150.9624,4.1
-25.83706,148.49855,4.5
-27.21237,149.78622,14
-25.42929,152.18924,16.3
-25.42976,152.18481,30.1
-27.1055,150.88179,5.7
-25.43023,152.1804,30.1
-25.42594,152.17982,30.1
-27.10605,150.87607,5.7
-25.41166,152.19136,3.7
-25.41021,152.1889,4
-27.20727,149.78569,2.6
-25.40213,152.18335,17.2
-26.79205,152.56136,6.3
-26.79245,152.5576,6.3
-26.78777,152.56093,6.3
-27.00906,150.08641,5.9
-27.00407,150.08582,11.1
-28.51413,152.22606,2.6
-27.00517,150.07321,12.5
-26.99962,150.07896,12.5
-28.07841,153.11929,7.2
-26.99907,150.08525,11.1
-27.00879,150.08685,8
-28.07885,153.11652,5.5
-27.0038,150.08626,8
-27.00498,150.0737,5
-28.01925,152.52249,17.3
-26.9994,150.07945,12.8
-26.99881,150.08572,12.8
-27.51386,149.09587,19.4
-26.64468,152.51251,5.3
-26.63994,152.5162,4.8
-23.83965,151.16547,8.6
-22.68981,150.58542,3
-22.68523,150.58482,2.9
-22.6812,150.57925,11.1
-22.60402,150.1815,3
-22.5888,150.19046,6.2
-22.5841,150.18987,3.9
-22.57941,150.18927,3.9
-21.46684,148.41237,7.8
-21.43588,148.39482,19.8
-21.43622,148.39149,19.8
-16.10307,144.2744,4.3
-16.10357,144.2693,4.3
-16.08968,144.34584,3
-16.09528,144.28867,4.5
-16.09577,144.28357,8.2
